Service,UnblendedCost,UsageQuantity,UsageType,Region
AmazonDynamoDB,1.9366,252.76,WriteCapacityUnit-Hrs,us-west-2
AmazonS3,2.3019,136.85,Requests-Tier1,ap-south-1
AmazonEC2,1.8656,487.84,BoxUsage:t3.micro,ap-south-1
AWSLambda,2.6817,66.78,Lambda-GB-Second,us-east-1
AmazonS3,3.0695,434.0,Requests-Tier1,eu-west-1
AmazonS3,4.7969,241.67,Requests-Tier1,us-east-1
AmazonS3,4.552,350.15,Requests-Tier1,sa-east-1
AmazonEC2,0.4548,218.11,DataTransfer-Out-Bytes,us-east-1
AWSLambda,2.8692,286.05,Lambda-GB-Second,us-west-2
AmazonEC2,10.0616,363.77,BoxUsage:t3.micro,us-west-2
AmazonDynamoDB,6.5103,382.2,WriteCapacityUnit-Hrs,eu-west-1
AmazonSNS,1.0059,416.3,PublishUsage,ap-south-1
AmazonDynamoDB,390.4,599.12,ReadCapacityUnit-Hrs,sa-east-1
AmazonS3,0.5412,361.46,Requests-Tier1,us-east-1
AmazonDynamoDB,11.2734,121.24,WriteCapacityUnit-Hrs,us-west-2
AmazonSNS,2.0078,209.89,PublishUsage,us-east-1
AmazonEC2,2.2666,253.66,BoxUsage:t3.micro,ap-south-1
AmazonCloudWatch,0.9821,59.88,MetricMonitorUsage,us-west-2
AmazonCloudWatch,5.7559,143.94,MetricMonitorUsage,ap-south-1
AmazonS3,4.0044,117.09,Requests-Tier1,sa-east-1
AmazonRDS,913.63,654.59,Multi-AZ-UsageHours,eu-west-1
AWSLambda,1.6583,294.54,Lambda-GB-Second,ap-south-1
AmazonCloudWatch,1.9078,468.09,MetricMonitorUsage,eu-west-1
AmazonDynamoDB,8.9481,97.33,WriteCapacityUnit-Hrs,us-east-1
AmazonEC2,13.9102,50.46,BoxUsage:t3.micro,us-east-1
AmazonDynamoDB,9.4784,230.0,WriteCapacityUnit-Hrs,ap-south-1
AmazonS3,4.3021,231.94,Requests-Tier1,eu-west-1
AmazonCloudWatch,3.9651,425.71,MetricMonitorUsage,ap-south-1
AmazonSQS,2.1747,369.75,SQS-APIRequest,sa-east-1
AmazonCloudWatch,2.5213,183.83,MetricMonitorUsage,us-west-2
AmazonSNS,2.9021,298.43,PublishUsage,eu-west-1
AmazonDynamoDB,11.6455,389.6,WriteCapacityUnit-Hrs,us-west-2
AmazonEC2,14.987,333.18,BoxUsage:t3.micro,us-east-1
AmazonEC2,6.8637,429.44,BoxUsage:t3.micro,ap-south-1
AmazonSNS,0.4207,498.52,PublishUsage,ap-south-1
AmazonSQS,1.5631,437.63,SQS-APIRequest,us-west-2
AmazonSQS,2.691,259.91,SQS-APIRequest,sa-east-1
AmazonSQS,1.1753,463.46,SQS-APIRequest,eu-west-1
AmazonDynamoDB,5.9706,114.23,WriteCapacityUnit-Hrs,us-east-1
