MeterCategory,Cost,Quantity,Meter,ResourceLocation
SQL Database,2.4197,468.09,Basic DTU,Southeast Asia
Azure Monitor,1.1516,425.42,Data Ingestion,Central India
Virtual Machines,13.9102,50.46,B-Series Compute Hours,East US
Azure App Service,8.0266,230.0,Basic Plan,Southeast Asia
Storage,4.3021,231.94,General Purpose v2 Transactions,Southeast Asia
Azure Monitor,4.4347,369.75,Data Ingestion,Central India
SQL Database,3.2563,183.83,Basic DTU,East US
SQL Database,7.7467,298.43,Basic DTU,West Europe
Azure App Service,9.7226,389.6,Basic Plan,West Europe
Virtual Machines,6.8637,429.44,B-Series Compute Hours,Central India
SQL Database,1.3294,498.52,Basic DTU,Central India
Azure Monitor,3.2749,437.63,Data Ingestion,West Europe
Azure Monitor,5.414,259.91,Data Ingestion,Central India
Azure Monitor,2.5394,463.46,Data Ingestion,West Europe
Azure App Service,5.2813,114.23,Basic Plan,East US
SQL Database,6.6707,222.26,Basic DTU,Southeast Asia
SQL Database,5.9726,276.94,Basic DTU,West Europe
Virtual Machines,4.9073,16.38,B-Series Compute Hours,Southeast Asia
Azure Monitor,5.4042,374.56,Data Ingestion,Central India
Azure App Service,1.7446,243.84,Basic Plan,Central India
Azure App Service,3.4028,166.45,Basic Plan,West Europe
Azure App Service,4.9502,11.78,Basic Plan,Southeast Asia
Azure App Service,1.8502,373.65,Basic Plan,West Europe
SQL Database,6.219,136.0,Basic DTU,Central India
Virtual Machines,10.7936,490.12,B-Series Compute Hours,West Europe
Azure Monitor,2.4078,295.87,Data Ingestion,Southeast Asia
Azure App Service,2.1889,307.58,Basic Plan,Central India
Storage,4.552,350.15,General Purpose v2 Transactions,Central India
SQL Database,913.63,654.59,vCore Provisioned Compute,West Europe
