Service,UnblendedCost,UsageQuantity,UsageType,Region,Tier,InvoiceID,RecordType
AmazonSNS,37.326,637.47,BoxUsage:t3.micro,ap-south-1,tier3,INV-1068,LineItem
AmazonS3,23.8893,484.85,TimedStorage-ByteHrs,us-west-2,tier3,INV-1069,LineItem
AmazonSQS,18.5716,299.41,PublishUsage,ap-south-1,tier3,INV-1070,LineItem
AmazonVPC,29.3404,694.01,SQS-APIRequest,eu-west-1,tier3,INV-1071,LineItem
AmazonRDS,10.6574,596.84,TimedStorage-ByteHrs,eu-west-1,tier3,INV-1072,LineItem
AmazonRDS,4.7465,53.34,PublishUsage,sa-east-1,tier3,INV-1073,LineItem
AmazonDynamoDB,37.1116,248.34,ReadCapacityUnit-Hrs,us-west-2,tier3,INV-1074,LineItem
AmazonS3,41.4445,132.51,SQS-APIRequest,us-east-1,tier3,INV-1075,LineItem
AmazonS3,5.2059,17.02,Requests-Tier1,eu-west-1,tier3,INV-1076,LineItem
AmazonS3,7.8671,42.8,WriteCapacityUnit-Hrs,us-east-1,tier3,INV-1077,LineItem
AmazonDynamoDB,17.7194,254.46,ReadCapacityUnit-Hrs,eu-west-1,tier3,INV-1078,LineItem
AmazonVPC,39.3765,680.92,SQS-APIRequest,eu-west-1,tier3,INV-1079,LineItem
AmazonCloudWatch,10.6612,199.59,BoxUsage:t3.micro,eu-west-1,tier3,INV-1080,LineItem
AmazonS3,18.7376,39.5,ReadCapacityUnit-Hrs,eu-west-1,tier3,INV-1081,LineItem
AmazonEC2,4.5842,666.78,Requests-Tier2,sa-east-1,tier3,INV-1082,LineItem
AmazonCloudWatch,41.6186,79.38,BoxUsage:t3.small,us-east-1,tier3,INV-1083,LineItem
AmazonSNS,44.0809,641.64,PublishUsage,sa-east-1,tier3,INV-1084,LineItem
AmazonSQS,28.9153,623.22,Lambda-GB-Second,ap-south-1,tier3,INV-1085,LineItem
AmazonEBS,23.1449,686.07,BoxUsage:t3.small,sa-east-1,tier3,INV-1086,LineItem
AmazonCloudWatch,17.3352,511.69,PublishUsage,eu-west-1,tier3,INV-1087,LineItem
AmazonRDS,21.5097,333.57,Requests-Tier1,us-east-1,tier3,INV-1088,LineItem
AmazonS3,16.5444,293.18,ReadCapacityUnit-Hrs,us-west-2,tier3,INV-1089,LineItem
AmazonEBS,30.8616,237.57,Requests-Tier1,eu-west-1,tier3,INV-1090,LineItem
AWSLambda,41.2365,384.78,MetricMonitorUsage,sa-east-1,tier3,INV-1091,LineItem
AmazonEBS,38.1867,522.1,Requests-Tier1,eu-west-1,tier3,INV-1092,LineItem
AmazonCloudWatch,23.9772,506.37,DataTransfer-Out-Bytes,sa-east-1,tier3,INV-1093,LineItem
AmazonEC2,9.1162,555.87,Requests-Tier1,us-east-1,tier3,INV-1094,LineItem
AmazonEBS,5.9533,491.54,Lambda-GB-Second,sa-east-1,tier3,INV-1095,LineItem
AmazonVPC,3.8113,748.76,BoxUsage:t3.small,ap-south-1,tier3,INV-1096,LineItem
AmazonEBS,43.15,640.73,WriteCapacityUnit-Hrs,us-east-1,tier3,INV-1097,LineItem
AmazonDynamoDB,35.7822,756.83,ReadCapacityUnit-Hrs,eu-west-1,tier3,INV-1098,LineItem
AmazonEBS,26.5575,76.13,BoxUsage:t3.small,us-west-2,tier3,INV-1099,LineItem
AmazonCloudWatch,25.4271,457.99,ReadCapacityUnit-Hrs,us-east-1,tier3,INV-1100,LineItem
AmazonS3,23.5232,611.16,TimedStorage-ByteHrs,eu-west-1,tier3,INV-1101,LineItem
AmazonSQS,26.9857,745.0,MetricMonitorUsage,eu-west-1,tier3,INV-1102,LineItem
AmazonDynamoDB,5.2785,70.26,PublishUsage,us-east-1,tier3,INV-1103,LineItem
AmazonDynamoDB,34.8467,537.02,ReadCapacityUnit-Hrs,ap-south-1,tier3,INV-1104,LineItem
AmazonDynamoDB,40.4275,610.05,WriteCapacityUnit-Hrs,us-west-2,tier3,INV-1105,LineItem
AmazonVPC,14.1567,126.17,Requests-Tier1,ap-south-1,tier3,INV-1106,LineItem
AWSLambda,42.1264,350.38,SQS-APIRequest,us-east-1,tier3,INV-1107,LineItem
AmazonEBS,24.8892,748.92,Requests-Tier2,us-east-1,tier3,INV-1108,LineItem
AmazonEBS,21.5768,301.15,Requests-Tier2,ap-south-1,tier3,INV-1109,LineItem
AmazonVPC,42.8042,94.87,SQS-APIRequest,us-east-1,tier3,INV-1110,LineItem
AmazonEBS,28.672,97.63,Requests-Tier1,sa-east-1,tier3,INV-1111,LineItem
AmazonDynamoDB,0.5635,363.51,ReadCapacityUnit-Hrs,us-east-1,tier3,INV-1112,LineItem
AmazonVPC,13.2982,366.89,WriteCapacityUnit-Hrs,sa-east-1,tier3,INV-1113,LineItem
AWSLambda,41.3307,625.06,TimedStorage-ByteHrs,us-east-1,tier3,INV-1114,LineItem
AWSLambda,44.8666,703.37,Lambda-GB-Second,us-east-1,tier3,INV-1115,LineItem
AmazonVPC,4.7978,799.28,Requests-Tier1,ap-south-1,tier3,INV-1116,LineItem
AmazonSNS,29.2591,72.44,BoxUsage:t3.micro,ap-south-1,tier3,INV-1117,LineItem
AmazonVPC,10.8449,114.5,PublishUsage,sa-east-1,tier3,INV-1118,LineItem
AmazonEC2,8.9272,728.52,PublishUsage,ap-south-1,tier3,INV-1119,LineItem
AmazonRDS,0.2543,41.42,ReadCapacityUnit-Hrs,sa-east-1,tier3,INV-1120,LineItem
AmazonEC2,36.0687,190.92,MetricMonitorUsage,ap-south-1,tier3,INV-1121,LineItem
AmazonRDS,36.0454,742.24,PublishUsage,us-west-2,tier3,INV-1122,LineItem
AmazonEC2,31.4185,670.4,BoxUsage:t3.small,ap-south-1,tier3,INV-1123,LineItem
AmazonDynamoDB,5.6303,403.67,BoxUsage:t3.micro,eu-west-1,tier3,INV-1124,LineItem
AmazonRDS,28.3542,680.92,Lambda-GB-Second,ap-south-1,tier3,INV-1125,LineItem
AmazonDynamoDB,8.6949,216.68,BoxUsage:t3.small,sa-east-1,tier3,INV-1126,LineItem
AmazonEBS,44.1094,489.27,BoxUsage:t3.small,ap-south-1,tier3,INV-1127,LineItem
AmazonCloudWatch,1.9154,707.33,BoxUsage:t3.micro,us-east-1,tier3,INV-1128,LineItem
AmazonVPC,7.799,73.47,TimedStorage-ByteHrs,ap-south-1,tier3,INV-1129,LineItem
AmazonEBS,20.6406,627.29,DataTransfer-Out-Bytes,us-west-2,tier3,INV-1130,LineItem
AmazonSQS,25.7629,116.19,Requests-Tier1,ap-south-1,tier3,INV-1131,LineItem
AmazonRDS,26.015,559.85,SQS-APIRequest,eu-west-1,tier3,INV-1132,LineItem
AWSLambda,42.3273,118.84,Requests-Tier1,ap-south-1,tier3,INV-1133,LineItem
AmazonDynamoDB,21.3429,95.46,Lambda-GB-Second,ap-south-1,tier3,INV-1134,LineItem
AmazonDynamoDB,12.5206,243.83,SQS-APIRequest,us-east-1,tier3,INV-1135,LineItem
AmazonVPC,28.562,329.51,TimedStorage-ByteHrs,ap-south-1,tier3,INV-1136,LineItem
AmazonVPC,9.8011,470.69,BoxUsage:t3.small,eu-west-1,tier3,INV-1137,LineItem
AmazonVPC,18.8338,379.36,Requests-Tier1,sa-east-1,tier3,INV-1138,LineItem
AmazonEC2,25.7649,452.66,BoxUsage:t3.small,us-west-2,tier3,INV-1139,LineItem
AmazonCloudWatch,29.363,253.04,WriteCapacityUnit-Hrs,eu-west-1,tier3,INV-1140,LineItem
AmazonVPC,24.716,345.19,DataTransfer-Out-Bytes,ap-south-1,tier3,INV-1141,LineItem
AmazonCloudWatch,23.0781,589.39,ReadCapacityUnit-Hrs,eu-west-1,tier3,INV-1142,LineItem
AWSLambda,41.4484,402.96,Lambda-GB-Second,sa-east-1,tier3,INV-1143,LineItem
AmazonEBS,14.1571,669.92,Lambda-GB-Second,us-west-2,tier3,INV-1144,LineItem
AmazonEBS,5.2224,57.74,Requests-Tier2,eu-west-1,tier3,INV-1145,LineItem
AmazonSNS,12.6347,267.37,PublishUsage,sa-east-1,tier3,INV-1146,LineItem
AmazonEC2,14.1321,594.18,TimedStorage-ByteHrs,us-east-1,tier3,INV-1147,LineItem
AmazonSQS,38.5461,297.87,BoxUsage:t3.micro,eu-west-1,tier3,INV-1148,LineItem
AmazonSNS,27.0418,95.83,WriteCapacityUnit-Hrs,us-east-1,tier3,INV-1149,LineItem
AmazonCloudWatch,44.7959,617.71,Requests-Tier2,eu-west-1,tier3,INV-1150,LineItem
AmazonSQS,30.9481,564.35,TimedStorage-ByteHrs,us-west-2,tier3,INV-1151,LineItem
AmazonEBS,0.4926,167.33,Requests-Tier2,sa-east-1,tier3,INV-1152,LineItem
AmazonVPC,7.3772,132.81,MetricMonitorUsage,eu-west-1,tier3,INV-1153,LineItem
AmazonDynamoDB,25.0231,671.27,PublishUsage,sa-east-1,tier3,INV-1154,LineItem
AmazonSQS,6.3804,358.65,MetricMonitorUsage,sa-east-1,tier3,INV-1155,LineItem
AmazonSNS,33.9923,347.08,Requests-Tier2,us-west-2,tier3,INV-1156,LineItem
AmazonEC2,6.7888,144.82,TimedStorage-ByteHrs,eu-west-1,tier3,INV-1157,LineItem
AmazonRDS,10.486,233.72,PublishUsage,sa-east-1,tier3,INV-1158,LineItem
AmazonEC2,26.3942,394.68,DataTransfer-Out-Bytes,eu-west-1,tier3,INV-1159,LineItem
AmazonEC2,37.963,510.11,BoxUsage:t3.small,us-west-2,tier3,INV-1160,LineItem
AmazonRDS,30.1624,610.35,Lambda-GB-Second,ap-south-1,tier3,INV-1161,LineItem
AmazonVPC,24.2833,270.83,BoxUsage:t3.micro,ap-south-1,tier3,INV-1162,LineItem
AWSLambda,21.7209,614.93,SQS-APIRequest,sa-east-1,tier3,INV-1163,LineItem
AmazonVPC,40.9308,469.74,PublishUsage,us-west-2,tier3,INV-1164,LineItem
AmazonCloudWatch,15.3332,399.1,BoxUsage:t3.small,sa-east-1,tier3,INV-1165,LineItem
AmazonSNS,17.9409,733.88,Lambda-GB-Second,eu-west-1,tier3,INV-1166,LineItem
AmazonS3,7.996,271.15,ReadCapacityUnit-Hrs,ap-south-1,tier3,INV-1167,LineItem
AWSLambda,41.7364,358.62,DataTransfer-Out-Bytes,us-west-2,tier3,INV-1168,LineItem
AmazonEC2,26.9355,5.95,TimedStorage-ByteHrs,us-west-2,tier3,INV-1169,LineItem
AmazonDynamoDB,28.5233,785.45,Requests-Tier1,us-east-1,tier3,INV-1170,LineItem
AmazonEBS,21.493,609.17,MetricMonitorUsage,ap-south-1,tier3,INV-1171,LineItem
AmazonVPC,43.3449,625.63,PublishUsage,eu-west-1,tier3,INV-1172,LineItem
AmazonEBS,5.1435,585.96,TimedStorage-ByteHrs,sa-east-1,tier3,INV-1173,LineItem
AmazonSNS,29.4381,775.86,TimedStorage-ByteHrs,ap-south-1,tier3,INV-1174,LineItem
AmazonCloudWatch,12.9774,587.03,BoxUsage:t3.small,sa-east-1,tier3,INV-1175,LineItem
AmazonSQS,5.5829,32.85,WriteCapacityUnit-Hrs,ap-south-1,tier3,INV-1176,LineItem
AWSLambda,22.0416,788.43,Lambda-GB-Second,ap-south-1,tier3,INV-1177,LineItem
AmazonSNS,18.5268,634.97,TimedStorage-ByteHrs,us-west-2,tier3,INV-1178,LineItem
AmazonSQS,25.0002,641.67,ReadCapacityUnit-Hrs,us-east-1,tier3,INV-1179,LineItem
AmazonEBS,612.4,2048.0,EBS:VolumeUsage.gp2,us-east-1,tier1,INV-9999,LineItem
AmazonEBS,588.1,1990.0,EBS:VolumeUsage.gp3,us-west-2,tier1,INV-9999,LineItem
AmazonEC2,875.25,720.0,BoxUsage:m4.2xlarge,us-east-1,tier2,INV-9999,LineItem
AmazonEC2,"1,240.50",720.0,BoxUsage:m4.4xlarge,eu-west-1,tier2,INV-9999,LineItem
AmazonS3,530.75,15000.0,TimedStorage-ByteHrs,us-east-1,tier3,INV-9999,LineItem
AmazonS3,499.99,14200.0,TimedStorage-ByteHrs,ap-south-1,tier3,INV-9999,LineItem
AmazonRDS,310.0,744.0,Multi-AZ-UsageHours,us-west-2,tier3,INV-9999,LineItem
AmazonRDS,945.6,744.0,Multi-AZ-UsageHours,us-east-1,tier2,INV-9999,LineItem
AmazonVPC,702.3,980000.0,NatGateway-Bytes,us-east-1,tier3,INV-9999,LineItem
AmazonVPC,680.1,910000.0,NatGateway-Bytes,sa-east-1,tier3,INV-9999,LineItem
AmazonEC2,875.25,720.0,BoxUsage:m4.2xlarge,us-east-1,tier2,INV-9999,LineItem
AmazonEC2,875.25,720.0,BoxUsage:m4.2xlarge,us-east-1,tier2,INV-9999,LineItem
AmazonCloudFront,,0.0,Requests-Tier1,us-east-1,tier3,INV-8001,LineItem
AmazonElastiCache,N/A,120.0,NodeUsage:cache.m5.large,us-east-1,tier3,INV-8002,LineItem
AmazonEC2,-42.5,10.0,BoxUsage:t3.micro,us-east-1,tier3,INV-8003,Credit
AmazonRedshift,"2,105.75",744.0,Node:ra3.xlplus,us-east-1,tier3,INV-8004,LineItem
  AmazonEC2  ,12.4,5.0,BoxUsage:t3.micro,us-east-1,tier3,INV-8005,LineItem
AmazonEC2,0.0,0.0,BoxUsage:t3.micro,us-east-1,tier3,INV-8006,LineItem
Total,11553.95,,,,,,
